simulation,period,total_sn,total_cost,layer_materials,layer_thicknesses,layer_sns,startover
13,141,3.87,53.540625000000006,"['Asphalt Surface (1/2in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[3.0, 5.0, 19.0]","[0.44, 0.13, 0.1]",False
13,311,3.88,54.92256944444445,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 19.0]","[0.44, 0.44, 0.1]",False
14,141,3.6500000000000004,50.28402777777779,"['Asphalt Surface (1/2in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[2.5, 5.0, 19.0]","[0.44, 0.13, 0.1]",False
14,280,3.88,54.92256944444445,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 19.0]","[0.44, 0.44, 0.1]",False
15,141,3.87,53.540625000000006,"['Asphalt Surface (1/2in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[3.0, 5.0, 19.0]","[0.44, 0.13, 0.1]",False
15,311,3.88,54.92256944444445,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 19.0]","[0.44, 0.44, 0.1]",False
16,142,3.6500000000000004,50.28402777777779,"['Asphalt Surface (1/2in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[2.5, 5.0, 19.0]","[0.44, 0.13, 0.1]",False
16,280,3.88,54.92256944444445,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 19.0]","[0.44, 0.44, 0.1]",False
17,141,3.6500000000000004,50.28402777777779,"['Asphalt Surface (1/2in)', 'Crushed Rock Base (3/4in minus)', 'Stone Backfill (6in coarse aggregate)']","[2.5, 5.0, 19.0]","[0.44, 0.13, 0.1]",False
17,280,3.88,54.92256944444445,"['Asphalt Surface (1/2in)', 'Asphalt Binder (1in)', 'Stone Backfill (6in coarse aggregate)']","[1.5, 3.0, 19.0]","[0.44, 0.44, 0.1]",False
